Size,Count
10000,9701
10000,9500
10000,8667
10000,8000
10000,7881
10000,7470
10000,8541
10000,9703
10000,7665
10000,7735
10000,7802
10000,8514
10000,8803
10000,9748
10000,7538
10000,7539
10000,9155
10000,7768
10000,9108
10000,7531
10000,7519
10000,7529
10000,9614
10000,8800
10000,9291
10000,7483
10000,8656
10000,8624
10000,7697
10000,9031
10000,7492
10000,7540
10000,8462
10000,8122
10000,9104
10000,7480
10000,7996
10000,7523
10000,8238
10000,7623
10000,7521
10000,7734
10000,8711
10000,7846
10000,7971
10000,9320
10000,8230
10000,8841
10000,7685
10000,7954
10000,7671
10000,8413
10000,7494
10000,7676
10000,7900
10000,8804
10000,7884
10000,7585
10000,8220
10000,9617
10000,8830
10000,8981
10000,7995
10000,9648
10000,8741
10000,9640
10000,8912
10000,9520
10000,9362
10000,8404
10000,8506
10000,8223
10000,8504
10000,7564
10000,7738
10000,8597
10000,9329
10000,9942
10000,8690
10000,7505
10000,7578
10000,8854
10000,9028
10000,7820
10000,7489
10000,9431
10000,8325
10000,7552
10000,8601
10000,8201
10000,9621
10000,9051
10000,7574
10000,7510
10000,8022
10000,9817
10000,8431
10000,7977
10000,8130
10000,9030
10000,9651
10000,7982
10000,9719
10000,9303
10000,8705
10000,9839
10000,8314
10000,9619
10000,8897
10000,7693
10000,9061
10000,7580
10000,9145
10000,8457
10000,9624
10000,7607
10000,8563
10000,8008
10000,8250
10000,9848
10000,8089
10000,7656
10000,7544
10000,8289
10000,9491
10000,7991
10000,7735
10000,8913
10000,8749
10000,7663
10000,7784
10000,9773
10000,7805
10000,9736
10000,8862
10000,7586
10000,9658
10000,8280
10000,7843
10000,9607
10000,7553
10000,7521
10000,8289
10000,7595
10000,7619
10000,9560
10000,7955
10000,7607
10000,9720
10000,9524
10000,7477
10000,7738
10000,8560
10000,8927
10000,8717
10000,7874
10000,7767
10000,7510
10000,7507
10000,7536
10000,8042
10000,7610
10000,7518
10000,9618
10000,9075
10000,9427
10000,7482
10000,7604
10000,7979
10000,8319
10000,9071
10000,8933
10000,7828
10000,9491
10000,7729
10000,9765
10000,9320
10000,8402
10000,7580
10000,7487
10000,7599
10000,7979
10000,7969
10000,7668
10000,7811
10000,7739
10000,8820
10000,8207
10000,8884
10000,7646
10000,7501
10000,8735
10000,7863
10000,8965
10000,9493
10000,8787
10000,9546
10000,7696
10000,7498
10000,8544
10000,8186
10000,7906
10000,9079
10000,9810
10000,7892
10000,8819
10000,7626
10000,7587
10000,9107
10000,7857
10000,7725
10000,8885
10000,8229
10000,7642
10000,7581
10000,8586
10000,8510
10000,9853
10000,7708
10000,9177
10000,7782
10000,8157
10000,8381
10000,8682
10000,8049
10000,8750
10000,7997
10000,7905
10000,8155
10000,8002
10000,8013
10000,7582
10000,7954
10000,8315
10000,8661
10000,7777
10000,7666
10000,9397
10000,7683
10000,7844
10000,9475
10000,7549
10000,9314
10000,9471
10000,8911
10000,8397
10000,7478
10000,8162
10000,7834
10000,9361
10000,7485
10000,7554
10000,7726
10000,8569
10000,8480
10000,9065
10000,8241
10000,7630
10000,9421
10000,9121
10000,7699
10000,8641
10000,7534
10000,9880
10000,7694
10000,7495
10000,8485
10000,7915
10000,8294
10000,7900
10000,8366
10000,9646
10000,8815
10000,9334
10000,7848
10000,7515
10000,9010
10000,7544
10000,7560
10000,7520
10000,9832
10000,7683
10000,8177
10000,7737
10000,9182
10000,7875
10000,8105
10000,7503
10000,7637
10000,8714
10000,9642
10000,7740
10000,9197
10000,7677
10000,8185
10000,9980
10000,9933
10000,7746
10000,7644
10000,7832
20000,14993
20000,16423
20000,15049
20000,17630
20000,15073
20000,19310
20000,15914
20000,17620
20000,14954
20000,17582
20000,15436
20000,19858
20000,15471
20000,16177
20000,18550
20000,16312
20000,16175
20000,18835
20000,17287
20000,19188
20000,15257
20000,19344
20000,15249
20000,16567
20000,15494
20000,15791
20000,16185
20000,18788
20000,15273
20000,15149
20000,15068
20000,18781
20000,17129
20000,15029
20000,16698
20000,15048
20000,17079
20000,15880
20000,15943
20000,15985
20000,15756
20000,17915
20000,18981
20000,15087
20000,15609
20000,15813
20000,15030
20000,18523
20000,16429
20000,17875
20000,15579
20000,15004
20000,15004
20000,15171
20000,18387
20000,15321
20000,16272
20000,15509
20000,15026
20000,15044
20000,15073
20000,16291
20000,18495
20000,15988
20000,15696
20000,18442
20000,15433
20000,15037
20000,15037
20000,15918
20000,15192
20000,19844
20000,19468
20000,16576
20000,17113
20000,15954
20000,15729
20000,17647
20000,15256
20000,17121
20000,15205
20000,19160
20000,15550
20000,15321
20000,14958
20000,19536
20000,15235
20000,18135
20000,18269
20000,15916
20000,15252
20000,15033
20000,15119
20000,18549
20000,15023
20000,15312
20000,19260
20000,17852
20000,15949
20000,17376
20000,18955
20000,19589
20000,16869
20000,16623
20000,15271
20000,16650
20000,15079
20000,16512
20000,16693
20000,18054
20000,16488
20000,15471
20000,18031
20000,16575
20000,18669
20000,16300
20000,18685
20000,16081
20000,19633
20000,17675
20000,15754
20000,15068
20000,15051
20000,17485
20000,15034
20000,18051
20000,15708
20000,15087
20000,15881
20000,15036
20000,17736
20000,19494
20000,15956
20000,14984
20000,17190
20000,15001
20000,18411
20000,15357
20000,15097
20000,16186
20000,15241
20000,18622
20000,18053
20000,15787
20000,14999
20000,16513
